Date,BTC,ETH,XRP,ADA
3/8/2017,1150.22,16.68,N/A,N/A
3/9/2017,1197.3,17.82,N/A,N/A
3/10/2017,1109.01,19.2,N/A,N/A
3/11/2017,1188.11,21.64,N/A,N/A
3/12/2017,1235.58,23.39,N/A,N/A
3/13/2017,1245.49,28.64,N/A,N/A
3/14/2017,1247.42,28.69,N/A,N/A
3/15/2017,1263,35.65,N/A,N/A
3/16/2017,1175.11,45.96,N/A,N/A
3/17/2017,1069.57,44.62,N/A,N/A
3/18/2017,970,33.64,N/A,N/A
3/19/2017,1019.49,43.21,N/A,N/A
3/20/2017,1044.96,42.31,N/A,N/A
3/21/2017,1114.42,42.36,N/A,N/A
3/22/2017,1034.57,41.37,N/A,N/A
3/23/2017,1025.14,42.99,N/A,N/A
3/24/2017,934.87,52.93,N/A,N/A
3/25/2017,963.72,50.5,N/A,N/A
3/26/2017,973.08,50.73,N/A,N/A
3/27/2017,1042.08,48.97,N/A,N/A
3/28/2017,1045.4,50.3,N/A,N/A
3/29/2017,1043.27,53.1,N/A,N/A
3/30/2017,1042.34,51.88,N/A,N/A
3/31/2017,1088.99,50.18,N/A,N/A
4/1/2017,1092,50.71,N/A,N/A
4/2/2017,1113.99,48.74,N/A,N/A
4/3/2017,1152.6,44.25,N/A,N/A
4/4/2017,1143.99,44.47,N/A,N/A
4/5/2017,1132.99,44.78,N/A,N/A
4/6/2017,1192.3,43.3,N/A,N/A
4/7/2017,1194,42.32,N/A,N/A
4/8/2017,1184.5,44.45,N/A,N/A
4/9/2017,1210.97,43.92,N/A,N/A
4/10/2017,1210,43.92,N/A,N/A
4/11/2017,1223.99,43.83,N/A,N/A
4/12/2017,1214.17,46.48,N/A,N/A
4/13/2017,1177.05,49.77,N/A,N/A
4/14/2017,1173.74,47.2,N/A,N/A
4/15/2017,1178.85,48.94,N/A,N/A
4/16/2017,1177.99,48.13,N/A,N/A
4/17/2017,1189.91,47.94,N/A,N/A
4/18/2017,1201.94,49.79,N/A,N/A
4/19/2017,1214.21,47.78,N/A,N/A
4/20/2017,1236.15,49.38,N/A,N/A
4/21/2017,1249.99,48.37,N/A,N/A
4/22/2017,1247,48.61,N/A,N/A
4/23/2017,1251.98,48.96,N/A,N/A
4/24/2017,1257.29,50.12,N/A,N/A
4/25/2017,1281.16,50.31,N/A,N/A
4/26/2017,1298.44,53.42,N/A,N/A
4/27/2017,1349.26,63.67,N/A,N/A
4/28/2017,1353.34,73.14,N/A,N/A
4/29/2017,1365.43,70.4,N/A,N/A
4/30/2017,1384.55,80.87,N/A,N/A
5/1/2017,1436.5,79.35,N/A,N/A
5/2/2017,1471.99,77.55,N/A,N/A
5/3/2017,1533,81.29,N/A,N/A
5/4/2017,1563.39,95.97,N/A,N/A
5/5/2017,1551.3,91.93,N/A,N/A
5/6/2017,1585.39,95.84,N/A,N/A
5/7/2017,1609.57,93.82,N/A,N/A
5/8/2017,1713,89.25,N/A,N/A
5/9/2017,1720.43,86.58,N/A,N/A
5/10/2017,1794.99,88.36,N/A,N/A
5/11/2017,1837.93,88.3,N/A,N/A
5/12/2017,1695.61,85.17,N/A,N/A
5/13/2017,1792.73,88.42,N/A,N/A
5/14/2017,1799.99,89.39,N/A,N/A
5/15/2017,1747.81,91,N/A,N/A
5/16/2017,1777.48,87.98,N/A,N/A
5/17/2017,1813.23,86.88,N/A,N/A
5/18/2017,1899.16,96.2,N/A,N/A
5/19/2017,1976.23,125.14,N/A,N/A
5/20/2017,2058.91,123.63,N/A,N/A
5/21/2017,2057,148.78,N/A,N/A
5/22/2017,2123.29,160.1,N/A,N/A
5/23/2017,2272.75,169.95,N/A,N/A
5/24/2017,2432.97,196.06,N/A,N/A
5/25/2017,2355,181.51,N/A,N/A
5/26/2017,2272.7,163.8,N/A,N/A
5/27/2017,2099.99,159.91,N/A,N/A
5/28/2017,2232.78,175.48,N/A,N/A
5/29/2017,2279.48,194.82,N/A,N/A
5/30/2017,2191.58,228.69,N/A,N/A
5/31/2017,2303.29,229.14,N/A,N/A
6/1/2017,2419.99,221.91,N/A,N/A
6/2/2017,2478.99,222.04,N/A,N/A
6/3/2017,2548.05,224.95,N/A,N/A
6/4/2017,2521.36,245.5,N/A,N/A
6/5/2017,2698,248,N/A,N/A
6/6/2017,2871.29,264.22,N/A,N/A
6/7/2017,2685.64,255.68,N/A,N/A
6/8/2017,2799.73,258.64,N/A,N/A
6/9/2017,2811.39,279.38,N/A,N/A
6/10/2017,2931.15,340.2,N/A,N/A
6/11/2017,2998.98,343.01,N/A,N/A
6/12/2017,2655.71,397.37,N/A,N/A
6/13/2017,2709.01,388,N/A,N/A
6/14/2017,2432.21,341.7,N/A,N/A
6/15/2017,2409.98,343.71,N/A,N/A
6/16/2017,2480.43,354.26,N/A,N/A
6/17/2017,2634.94,368.98,N/A,N/A
6/18/2017,2515.25,351.85,N/A,N/A
6/19/2017,2596.98,358.71,N/A,N/A
6/20/2017,2725.08,350.94,N/A,N/A
6/21/2017,2643.35,325.41,N/A,N/A
6/22/2017,2679.99,320.02,N/A,N/A
6/23/2017,2690.76,326.99,N/A,N/A
6/24/2017,2574.84,304.5,N/A,N/A
6/25/2017,2505.61,278.49,N/A,N/A
6/26/2017,2407.91,252.99,N/A,N/A
6/27/2017,2575.75,287.23,N/A,N/A
6/28/2017,2553.12,315.32,N/A,N/A
6/29/2017,2530,292.95,N/A,N/A
6/30/2017,2455.19,280.04,N/A,N/A
7/1/2017,2423.63,263.12,N/A,N/A
7/2/2017,2516.66,285,N/A,N/A
7/3/2017,2542.41,276.37,N/A,N/A
7/4/2017,2602,269.2,N/A,N/A
7/5/2017,2616.96,266.27,N/A,N/A
7/6/2017,2604.84,266.01,N/A,N/A
7/7/2017,2501.15,241.28,N/A,N/A
7/8/2017,2561.11,246.64,N/A,N/A
7/9/2017,2508.99,238.81,N/A,N/A
7/10/2017,2331.05,202.86,N/A,N/A
7/11/2017,2310.01,190.57,N/A,N/A
